Model,DA_Test,DA_Train,DA_Valid,MAE_Test,MAE_Train,MAE_Valid,MSE_Test,MSE_Train,MSE_Valid,Train Time,Single Predict Time
BaselineLastDayModel,0.0,0.0,0.0,13.823441302805799,10.2822257887387,12.392036068976301,3048.61440810334,1890.00735625555,2322.64886918467,7.939338684081966e-05,2.1139780680338e-05
BaselineMAModel,0.488965858485898,0.490695205334013,0.500643245917863,17.5308830033679,14.1545044206223,17.150656010276,3517.51267764614,3261.2041367856095,4441.20056416494,9.719530741373667e-05,0.00016069412231445266
CausalTransformerModel-best,0.4915223486722747,0.4784346201214593,0.4780801583374567,32.04070238323863,21.66689744737307,28.725578719335232,9866.573085718514,2612.6071937818,6408.25427056196,1443.8395973841368,0.012780745824178083
CausalTransformerModel-last,0.4846445653966684,0.476393312665449,0.479432624113475,32.7260440893738,21.100979790307033,29.32298754308753,12084.9250953477,2806.090242878363,9915.71611306189,1443.8395973841368,0.012780745824178083
Hybrid (LSTM+StdTransWithLearnablePE)-best,0.4771070427181263,0.4804943304879603,0.47648029028533734,19.091226827164366,14.164162055773835,18.4996681208975,3970.5594553908068,1873.4194684241231,3025.711877150496,1024.2961883544933,0.010327974955240867
Hybrid (LSTM+StdTransWithLearnablePE)-last,0.490301830776843,0.47824492858255135,0.4782121062180436,24.021161228930534,17.613017973814333,23.56711049886027,6528.186273247303,2183.3986488740866,5292.673070928727,1024.2961883544933,0.010327974955240867
LSTMModel-best,0.4899884545604487,0.4842605172965317,0.4786244433448787,15.4213775055294,11.451269248953466,14.7603595267423,3124.74234853962,1760.3993652805068,2480.62206481943,205.124434312185,0.006783644358317047
LSTMModel-last,0.49660234207488035,0.5006526158687017,0.4940872917187316,14.583493584027734,10.3444855135613,13.693180833829436,3294.4591514976532,1632.03702346581,2836.8490137899466,205.124434312185,0.006783644358317047
LocalTransformerModel-best,0.49238000989609104,0.47926128615684505,0.47704106877783264,25.769201691740903,21.637830349996765,25.8974343384333,4114.11699070508,2779.9062494343366,4197.347222339813,1242.3300433953598,0.009934663772583013
LocalTransformerModel-last,0.47717301665842005,0.4728203168131823,0.47639782285997034,35.387878985611835,27.387311394910835,33.582091432622065,9907.358187494647,3913.8058176694267,8914.010919718983,1242.3300433953598,0.009934663772583013
RestrictedCausalTransfomerWithLearnablePE-best,0.500082467425367,0.486258650481874,0.484743526307109,17.2663338874642,13.510178310842333,16.54554264044067,3620.412320965084,1964.91408882812,2750.5416344266996,1427.7396294275932,0.009596824645996102
RestrictedCausalTransfomerWithLearnablePE-last,0.5054428500742206,0.4895896150960493,0.4883720930232556,16.89108265299973,12.232769466746866,15.8971339935952,4124.376010778854,1879.9917453717899,3000.97282402187,1427.7396294275932,0.009596824645996102
RestrictedCausalTransformerModel-best,0.5146792017153227,0.4939475540927543,0.49124195942602694,26.626102215343668,20.520703988176432,27.667785057132033,5053.55610145845,2947.6955631974834,5801.315602941723,1803.6273547808332,0.014743725458780934
RestrictedCausalTransformerModel-last,0.48596404420253997,0.4743024589119633,0.4755401616361537,36.92967608252237,28.77683074966723,39.515413984323565,12178.305011514773,6068.93721538732,15889.17897884756,1803.6273547808332,0.014743725458780934
StandardTransformerModel-best,0.49581065479135766,0.48066986594187533,0.478508988949365,29.6041144721956,25.080709815922102,30.0667244945956,5225.043137576867,3427.7996177914233,5348.117846514614,866.4569905598956,0.006109952926635743
StandardTransformerModel-last,0.48645884875474205,0.4769510624141787,0.4773709384793006,42.1975159111067,38.471294590406266,44.5049368985903,7120.722472803936,4604.956337955727,9568.813278386884,866.4569905598956,0.006109952926635743
StandardTransformerWithLearnablePE-best,0.49020286986640266,0.481086054840673,0.4824344383968337,19.3760888332623,14.728348068382234,18.3184087861829,3793.843513438493,1995.9815542615434,2743.8779432318665,849.0103627045941,0.00583068529764811
StandardTransformerWithLearnablePE-last,0.4852383308593103,0.47898387621919297,0.478673923800099,23.723559105728565,18.21545994578067,23.036837581878,4948.755073305193,2205.10666819945,4177.349189908383,849.0103627045941,0.00583068529764811
