Model,DA_Test,DA_Train,DA_Valid,MAE_Test,MAE_Train,MAE_Valid,MSE_Test,MSE_Train,MSE_Valid,Train Time,Single Predict Time
BaselineLastDayModel,0.0,0.0,0.0,18.4042221665795,13.855487332615601,17.4461578291752,4452.613931958,3149.39440590672,4144.54548115446,7.939338684081966e-05,2.1139780680338e-05
BaselineMAModel,0.489609104403761,0.490848091051939,0.513854527461653,19.8056483845054,16.0893044338962,19.7069921739698,4266.91285108795,4155.80959604759,5868.84777707635,9.719530741373667e-05,0.00016069412231445266
CausalTransformerModel-best,0.5064324591786243,0.4781288486856077,0.48697014679201733,33.141074028814195,23.453369901636602,31.666149403029266,10276.786157057266,3613.5310412935796,8695.062046599915,1443.8395973841368,0.012780745824178083
CausalTransformerModel-last,0.5006597394029356,0.47549581687688464,0.4889493650008247,33.75949903252533,22.8851869305321,30.925650706567236,11566.009019981,3747.51606874115,11358.375828575166,1443.8395973841368,0.012780745824178083
Hybrid (LSTM+StdTransWithLearnablePE)-best,0.4901039089559623,0.47996206169221867,0.4781461322777503,22.311445370849835,16.8270159577313,22.609891057191433,5249.706086793577,2997.10409465675,4795.933005871817,1024.2961883544933,0.010327974955240867
Hybrid (LSTM+StdTransWithLearnablePE)-last,0.5042883061190829,0.4778174148157586,0.48581560283687936,25.83112089259973,19.90676191745793,25.9003843033489,6889.105580423907,3174.9185332320435,6328.49693251073,1024.2961883544933,0.010327974955240867
LSTMModel-best,0.5002474022761011,0.48543338854206497,0.48193963384463134,19.630586884310002,14.814051460965667,19.492346288739835,4431.40399934678,2873.0613652635966,4250.863727885971,205.124434312185,0.006783644358317047
LSTMModel-last,0.503793501566881,0.5117070822893224,0.5051954477981196,18.797471432604834,13.5678369582009,18.438062331551833,4599.905128652929,2652.7910859499266,4756.117584047764,205.124434312185,0.006783644358317047
LocalTransformerModel-best,0.5041233712683494,0.479147840164047,0.4825169058222003,28.8474292726814,23.7675731859172,29.58678017971287,5391.513131665447,3851.04909331357,6217.552648834233,1242.3300433953598,0.009934663772583013
LocalTransformerModel-last,0.48655780966518236,0.469783836582155,0.4824344383968333,36.72539085848743,29.124133618399966,35.504128145774395,10117.42129343686,4918.177811242,10310.873088409613,1242.3300433953598,0.009934663772583013
RestrictedCausalTransfomerWithLearnablePE-best,0.5136071251855513,0.4852457357222793,0.4936500082467427,20.784490973843663,16.6521818818178,21.068422945108466,4729.67989238618,3104.73569283998,4517.60783278423,1427.7396294275932,0.009596824645996102
RestrictedCausalTransfomerWithLearnablePE-last,0.5206993237671117,0.4917540804914993,0.49595909615701833,20.1028683156085,15.299803990371766,20.0334996338746,5174.373760126803,3003.664460581033,4666.83491093527,1427.7396294275932,0.009596824645996102
RestrictedCausalTransformerModel-best,0.529275936005278,0.49818094307838195,0.4985155863433943,28.619833880007167,22.675285088168966,30.5469345090886,5756.7943484546,4015.3706264916095,7780.665673439401,1803.6273547808332,0.014743725458780934
RestrictedCausalTransformerModel-last,0.49793831436582564,0.47185062499115266,0.483671449777338,37.753253007159266,30.5030525915097,41.0289009839183,11491.769847787322,6981.88716704054,16562.111753231267,1803.6273547808332,0.014743725458780934
StandardTransformerModel-best,0.507834405409863,0.47903483812516834,0.48573313541151236,31.693658742852772,27.614591488348335,33.831714931502496,5583.416678403831,4451.609360361093,7423.723408116427,866.4569905598956,0.006109952926635743
StandardTransformerModel-last,0.49678377041068766,0.47490833934966964,0.4840837869041727,44.16085913895813,40.63799682208723,47.42658726633844,7736.168711220547,5619.573161551733,11642.840178449662,866.4569905598956,0.006109952926635743
StandardTransformerWithLearnablePE-best,0.5007422068283031,0.48136351410653866,0.48812469074715503,22.83226336957833,17.328258816513898,22.273295776729565,5198.412646044079,3162.2949286128364,4544.987661417573,849.0103627045941,0.00583068529764811
StandardTransformerWithLearnablePE-last,0.4945571499257793,0.478921589445223,0.48581560283687936,26.503144797291032,20.049277272540802,26.14761229251923,6530.32529114919,3348.40150956749,6327.649688316337,849.0103627045941,0.00583068529764811
